FALSE,Year Makes: 96 Models: 675,Nickname,Ordinal,Year,Makes: 96,Models: 675,Access Type,DLC Pack,Special Reward/Gift,Direct Access,Rarity,FE Boost,Featured Sale Deadline,Car Value,Car Division,Spec,PI,Class,S,B,H,A,L,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire/RRim,R Tire/RRim,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FM Debut,FH5 Debut,Forza Debut,Latest game,New to Forza,FM,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2016 Chevrolet #41 Stewart-Haas Racing Haas Automation Super Sport,,,2016,Chevrolet,#41 Stewart-Haas Racing Haas Automation Super Sport,,,,,,,,,NASCAR,Livery,,,7.7,6.8,6.9,8.7,,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.000,7.500,,204.8,100.8,245.4,1.40,1.61,3.500,12465,,,17-May-16,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2016 Chevrolet #42 Chip Ganassi Racing Target Super Sport,,,2016,Chevrolet,#42 Chip Ganassi Racing Target Super Sport,,,,,,,,,NASCAR,Livery,,,7.7,6.8,6.9,8.7,,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.000,7.500,,204.8,100.8,245.4,1.40,1.61,3.500,12466,,,17-May-16,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2016 Chevrolet #48 Hendrick Motorsports Lowe's Super Sport,#48 Lowe's Chevy,,2016,Chevrolet,#48 Hendrick Motorsports Lowe's Super Sport,,,,,,,,,NASCAR,Livery,,,7.7,6.8,6.9,8.7,,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.000,7.500,,204.8,100.8,245.4,1.40,1.61,3.500,12467,,,17-May-16,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2016 Chevrolet #5 Hendrick Motorsports FARMERS Insurance Super Sport,,,2016,Chevrolet,#5 Hendrick Motorsports FARMERS Insurance Super Sport,,,,,,,,,NASCAR,Livery,,,7.7,6.8,6.9,8.7,,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.000,7.500,,204.8,100.8,245.4,1.40,1.61,3.500,12468,,,17-May-16,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2016 Chevrolet #5 Hendrick Motorsports Great Clips Super Sport,,,2016,Chevrolet,#5 Hendrick Motorsports Great Clips Super Sport,,,,,,,,,NASCAR,Livery,,,7.7,6.8,6.9,8.7,,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.000,7.500,,204.8,100.8,245.4,1.40,1.61,3.500,12469,,,17-May-16,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2016 Chevrolet #88 Hendrick Motorsports Nationwide Insurance Super Sport,,,2016,Chevrolet,#88 Hendrick Motorsports Nationwide Insurance Super Sport,,,,,,,,,NASCAR,Livery,,,7.7,6.8,6.9,8.7,,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.000,7.500,,204.8,100.8,245.4,1.40,1.61,3.500,12470,,,17-May-16,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2018 Chevrolet Camaro ZL1 1LE Forza Edition,Chev. Camaro FE,3801,2018,Chevrolet,Camaro ZL1 1LE Forza Edition,Buy Cars DLC,FM VIP,Gift w/DLC,,,,,"120,000",Modern Sport Touring,Upgraded,700,A,4.9,4.6,4.5,4.6,,,681,681,3913,5.75,55,6200,PDS,V,8,F,RWD,305,325,,Adjustable,none,TT,,N. America,U.S.,Chevrolet Camaro,,2,L,4,,,3.500,7.900,11.700,185.1,97.5,238.5,1.28,1.35,4.400,13402,05-Oct-23,,05-Oct-23,FM,FM,DLC,,,,,,,,,,,,,1,XBO,1
FALSE,2015 Chevrolet #1 Team Penske IndyCar,#1 Chevy Indy,,2015,Chevrolet,#1 Team Penske IndyCar,,,,,,,,,IndyCar,Livery,,,8.7,8.6,8.9,9.8,,,641,289,1570,2.45,42,,TT,V,6,M,RWD,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.500,5.400,......,237.5,76.3,178.1,1.74,2.40,1.900,12321,,,15-Sep-15,FM6,FM6,,,,,,FM6,,,,,,,,1,XBO,0
FALSE,2017 Chevrolet Camaro ZL1,Chev. Camaro '17,2739,2017,Chevrolet,Camaro ZL1,Buy Cars Base,,,,Rare,,,"107,000",Modern Sport Touring,Factory,646,A,5.8,3.5,3.3,4.5,,,650,650,3883,5.97,50,6161,PDS,V,8,F,RWD,,305,no,"WB Safety Lights, Hood","565, 640, 825",TT,eng,N. America,U.S.,Chevrolet Camaro,,2,L,4,,,3.683,7.883,11.800,203.2,107.8,257.5,1.21,1.31,4.200,12667,05-Oct-23,05-Nov-21,07-Mar-17,FM,FH3,FM,FH5,FH4,FM7,DLC,,,,,,,,,5,XBO,1
FALSE,2015 Chevrolet #67 CFH Racing IndyCar,#67 Chevy Indy,,2015,Chevrolet,#67 CFH Racing IndyCar,,,,,,,,,IndyCar,Race,,,8.7,8.6,8.9,9.8,,,641,289,1570,2.45,42,,TT,V,6,M,RWD,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.500,5.400,,237.5,76.4,178.2,1.74,2.40,1.900,12323,,,15-Sep-15,FM6,FM6,,,,,,FM6,,,,,,,,1,XBO,0
FALSE,2015 Chevrolet #9 Target Chip Ganassi Racing IndyCar,#9 Chevy Indy,,2015,Chevrolet,#9 Target Chip Ganassi Racing IndyCar,,,,,,,,,IndyCar,Livery,,,8.8,8.6,8.9,9.8,,,641,289,1570,2.45,42,,TT,V,6,M,RWD,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.500,5.400,,237.5,76.3,178.1,1.74,2.40,1.900,12324,,,15-Sep-15,FM6,FM6,,,,,,FM6,,,,,,,,1,XBO,0
FALSE,2015 Chevrolet Camaro Z/28,Chevy Camaro '15,2183,2015,Chevrolet,Camaro Z/28,"Autoshow, WS",,,,Rare,,,"86,000",Track Toys,Factory,797,A,6.7,7.2,6.8,5.5,5.4,4.4,505,481,3837,7.60,52,7008,NA,V,8,F,RWD,,305,Both,Forza,"640, 700V, 750, 800","TT, PDS",stock,N. America,U.S.,Camaro,,2,L,4,,,4.384,9.482,,182.6,93.1,221.2,1.13,1.21,5.098,12229,,05-Nov-21,02-Jun-15,FH5,FH2,,FH5,FH4,,FH3,FM6,DLC,,,,,,,5,XBO,0
FALSE,2016 Chevrolet Camaro Super Sport,Chev. Camaro '16,2523,2016,Chevrolet,Camaro Super Sport,Buy Cars Base,,,,,,,"92,000",Modern Sport Touring,Factory,583,B,5.0,2.8,2.8,3.8,,,455,455,3672,8.07,54,6162,NA,V,8,F,RWD,,,,Forza,"565, 707, 788, 825","TT, PDS",stock,N. America,U.S.,Chevrolet Camaro,,2,L,4,,,4.200,9.382,12.483,186.8,140.5,343.6,1.12,1.12,5.182,12453,05-Oct-23,,03-May-16,FM,FM6,FM,,,FM7,FH3,DLC,,,,,,,,4,XBO,1
FALSE,2015 Chevrolet Corvette Z06 Forza Edition,Corvette '15 FE,,2015,Chevrolet,Corvette Z06 Forza Edition,,,,,,,,,Sport GT,Upgraded,771,S,6.8,6.3,6.3,8.8,,,650,650,2955,4.55,50,,PDS,V,8,F,RWD,,,,,,,eng,N. America,U.S.,Corvette,,2,L,4,,,3.200,7.200,11.183,182.3,113.3,280.9,1.35,1.41,4.000,12765,,,29-Sep-17,FM7,FM7,,,,FE,,,,,,,,,,1,XBO,0
FALSE,2015 Chevrolet Corvette Z06 Horizon Edition,,,2015,Chevrolet,Corvette Z06 Horizon Edition,,,,,,,,,Modern Muscle,Upgraded,883,S1,7.6,9.7,7.9,8.8,8.4,,650,650,3536,5.44,50,6162,PDS,V,8,F,RWD,,,,,,,eng,N. America,U.S.,,,2,L,4,,,,,,,,,,,.000,12562,,,23-Sep-16,FH3,FH3,,,,,HE,,,,,,,,,1,XBO,0
FALSE,2015 Chevrolet #10 Konica Minolta Corvette Daytona Prototype,Chev. #10 DP,2485,2015,Chevrolet,#10 Konica Minolta Corvette Daytona Prototype,Buy Cars Base,,,,,,,"340,000",Forza P2,Race,912,P,4.8,9.2,9.1,6.3,,,580,460,2438,4.20,47,5500,NA,V,8,M,RWD,320,325,,Adjustable,none,none,stock,N. America,U.S.,Chevrolet Corvette,,2,L,4,,,2.770,5.510,10.450,184.1,76.5,188.6,1.59,2.11,2.740,12438,05-Oct-23,,15-Mar-16,FM,FM6,FM,,,FM7,,DLC,,,,,,,,3,XBO,1
FALSE,2014 Chevrolet #4 ROAL Motorsport RML Cruze TC1 WTCC,#4 Chevy Cruze,,2014,Chevrolet,#4 ROAL Motorsport RML Cruze TC1 WTCC,,,,,,,,,Forza Touring Cars,Race,750,S,6.0,6.4,6.6,8.3,,,370,332,2425,6.55,65,,T,Inline,4,F,FWD,,,,,,,no,N. America,U.S.,,,4,L,4,,,4.940,9.223,12.483,160.2,122.3,291.8,1.35,1.50,4.283,12483,,,12-Jul-16,FM7,FM6,,,,FM7,,DLC,,,,,,,,2,XBO,0
FALSE,2014 Chevrolet Corvette Stingray,,,2014,Chevrolet,Corvette Stingray,,,,,,,,,Modern GT,Factory,797,A,7.6,8.5,7.1,8.3,8.4,,455,460,3444,7.57,42,2200,TT,V,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.500,6.500,,229.1,74.8,178.6,1.65,2.27,3.000,12099,,,30-May-14,FH2,FM5,,,,,,,FH2,DLC,,,,,,2,XBO,0
FALSE,2014 Chevrolet Super Sport,Chevy SuperSport,,2014,Chevrolet,Super Sport,,,,,,,,,Sport Touring,Factory,523,B,6.6,4.6,4.6,7.7,7.8,,415,415,3975,9.58,50,6162,NA,V,8,F,RWD,,275,,,415,,stock,N. America,U.S.,,,4,L,4,,,4.483,10.482,12.583,177.8,135.5,345.2,1.08,1.05,5.999,12188,,,04-Nov-14,FM7,FH2,,,,FM7,FH3,FM6,DLC,,,,,,,4,XBO,0
FALSE,2014 Chevrolet Super Sport Forza Edition,SuperSport FE,,2014,Chevrolet,Super Sport Forza Edition,,,,,,,,,Sport Touring,Upgraded,673,A,7.1,5.4,5.3,8.6,,,515,516,3505,6.81,50,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,,,4,L,4,,,4.500,10.500,11.500,190.9,133.2,327.2,1.20,1.17,6.000,12766,,,29-Sep-17,FM7,FM7,,,,FE,,,,,,,,,,1,XBO,0
FALSE,2013 Chevrolet #1 Andretti Autosport Dallara DW12,,,2013,Chevrolet,#1 Andretti Autosport Dallara DW12,,,,,,,,,Modern Indy,Race,607,A,7.7,5.0,4.9,8.4,8.5,,680,298,1534,2.26,49,6200,NA,V,6,M,RWD,,,,,,,stock,N. America,U.S.,,Yes,1,C,4,,,3.883,8.782,,205.9,110.9,279.7,1.16,1.16,4.899,12061,,,22-Nov-13,FM5,FM5,,,,,,,,FM5,,,,,,1,XBO,0
FALSE,2013 Chevrolet #12 Team Penske Dallara DW12,,,2013,Chevrolet,#12 Team Penske Dallara DW12,,,,,,,,,Modern Indy,Livery,,,,,,,,,680,298,1534,2.26,,,NA,V,6,M,RWD,,,,,,,,N. America,U.S.,,Yes,1,C,4,,,3.500,,,229.1,,,,,,12062,,,22-Nov-13,FM5,FM5,,,,,,,,FM5,,,,,,1,XBO,0
FALSE,2013 Chevrolet Summit Racing Pro Stock Camaro,,,2013,Chevrolet,Summit Racing Pro Stock Camaro,Seasonal,,,,,,,,?,Race,,,,,,,,,,,,,,,,,,,,,,,,,,,N. America,U.S.,,,,,,,,,,,,,,,,,,,,,FH5,FH5,,cu,,,,,,,,,,,,1,XBO,0
FALSE,2012 Chevrolet Camaro ZL1,Chevy Camaro '12,,2012,Chevrolet,Camaro ZL1,,,,,,,,,Sport Touring,Factory,631,A,7.4,5.2,5.2,8.2,,,580,557,4051,6.98,52,,PDS,V,8,F,RWD,,,,,,,eng,N. America,U.S.,Camaro,,2,L,4,,,3.817,8.700,11.917,196.1,127.8,323.6,1.16,1.17,4.883,11926,,,07-Aug-12,FM7,FM4,,,,FM7,,,FH2,FM5,FH1,DLC,,,,5,XBO,0
FALSE,2012 Chevrolet Camaro ZL1 (#88 Mt Dew Xbox livery),,,2012,Chevrolet,Camaro ZL1 (#88 Mt Dew Xbox livery),DLC promo,,,,,,,,Modern Muscle Cars,Livery,,,,,,,,,580,557,4051,6.98,,,,V,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.800,,,195.9,,,,,,12051,,,07-Nov-13,FM5,FM5,,,,,,,,DLC,,,,,,1,XBO,0
FALSE,2011 Chevrolet #04 Chevrolet Racing Monte Carlo SS Stock Car,,,2011,Chevrolet,#04 Chevrolet Racing Monte Carlo SS Stock Car,,,,,,,,,AmStock,Livery,730,R3,,,,,,,825,650,3400,4.12,,5900,NA,V,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.011,,,211.9,,,,,,11751,,,14-Oct-11,FM4,FM4,,,,,,,,,,FM4,,,,1,360,0
FALSE,2011 Chevrolet #4 Corvette Racing ZR1,#4 Chevy ZR1,,2011,Chevrolet,#4 Corvette Racing ZR1,,,,,,,,,Forza GT,Race,825,R,7.0,6.9,7.1,8.8,,,485,475,2745,5.66,50,,NA,V,8,F,RWD,,,,,,,stock,N. America,U.S.,Corvette,,2,L,4,,,3.300,7.200,11.333,189.1,116.2,274.3,1.45,1.66,3.900,11905,,,05-Jun-12,FM7,FM4,,,,FM7,,,,FM5,,DLC,,,,3,XBO,0
FALSE,2011 Chevrolet Spark,,,2011,Chevrolet,Spark,,,,,,,,,City,Factory,116,F,,,,,,,81,69,1905,23.52,,,,,4,F,FWD,,,,,,,,N. America,U.S.,,,3,L,4,,,12.400,,,106.5,,,,,,11758,,,14-Oct-11,FM4,FM4,,,,,,,,,,FM4,,,,1,360,0
FALSE,2011 Chevrolet Volt,,,2011,Chevrolet,Volt,,,,,,,,,Sedan,Factory,190,F,,,,,,,149,272,3825,25.67,,,,,4,F,FWD,,,,,,,,N. America,U.S.,,,4LB,L,4,,,8.800,,,133.1,,,,,,11759,,,14-Oct-11,FM4,FM4,,,,,,,,,,FM4,,,,1,360,0
FALSE,2015 Chevrolet Corvette Z06,Chev. C6 Z06 '15,2177,2015,Chevrolet,Corvette Z06,Buy Cars Base,,,,Rare,,,"203,000",Modern Sport GT,Factory,721,S,4.9,4.8,4.5,5.1,,,650,650,3536,5.44,50,6162,PDS,V,8,F,RWD,,335,Both,Forza,"565, 640, 788, 825",PDS,eng,N. America,U.S.,Chevrolet Corvette,,2,L,4,,,3.273,7.549,,214.0,89.1,212.9,1.16,1.29,4.276,12225,05-Oct-23,05-Nov-21,05-May-15,FM,FH2,FM,FH5,FH4,FM7,FH3,FM6,DLC,,,,,,,7,XBO,1
FALSE,2010 Chevrolet #89 Intersport Racing Oreca FLM09,#89 Chevy FLM09,,2010,Chevrolet,#89 Intersport Racing Oreca FLM09,,,,,,,,,Forza P2,Livery,934,P,6.8,8.5,8.5,9.3,,,430,464,1984,4.61,45,,NA,V,8,M,RWD,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,3.100,6.017,10.700,182.3,100.6,220.4,1.64,2.29,2.917,11753,,,14-Oct-11,FM7,FM4,,,,FM7,,,,,,FM4,,,,2,XBO,0
FALSE,2010 Chevrolet #99 Green Earth Team Gunnar Oreca FLM09,#99 Chevy FLM09,,2010,Chevrolet,#99 Green Earth Team Gunnar Oreca FLM09,,,,,,,,,Forza P2,Livery,934,P,6.8,8.5,8.5,9.3,,,430,464,1984,4.61,45,,NA,V,8,M,RWD,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,3.100,6.017,10.700,182.3,100.6,220.4,1.64,2.29,2.917,11754,,,14-Oct-11,FM7,FM4,,,,FM7,,,,,,FM4,,,,2,XBO,0
FALSE,2010 Chevrolet Camaro SS,,,2010,Chevrolet,Camaro SS,,,,,,,,,Sports,Factory,481,B,,,,,,,422,408,3860,9.15,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,4.715,,,177.7,,,,,,11491,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2010 Chevrolet Cobalt SS Turbocharged,,,2010,Chevrolet,Cobalt SS Turbocharged,,,,,,,,,Sports,Factory,455,B,,,,,,,260,260,2926,11.25,,,,,4,F,FWD,,,,,,,,N. America,U.S.,,,2,L,4,,,5.500,,,165.3,,,,,,11756,,,14-Oct-11,FM4,FM4,,,,,,,,,,FM4,,,,1,360,0
FALSE,2010 Chevrolet Corvette Grand Sport,,,2010,Chevrolet,Corvette Grand Sport,,,,,,,,,Sports,Factory,561,A,,,,,,,436,428,3311,7.59,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.900,,,199.5,,,,,,11603,,,12-Jan-10,FM4,FM3,,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2010 Chevrolet Corvette Grand Sport Convertible,,,2010,Chevrolet,Corvette Grand Sport Convertible,,,,,,,,,Open Top,Factory,573,A,,,,,,,436,428,3381,7.75,,,,V,8,F,RWD,,,,,,,,N. America,U.S.,,Yes,2,L,4,,,,,,,,,,,,11959,,,23-Oct-12,FH1,FH1,,,,,,,,,FH1,,,,,1,360,0
FALSE,2009 Chevrolet Aveo5 LT,,,2009,Chevrolet,Aveo5 LT,,,,,,,,,SubCom,Factory,102,F,3.8,4.6,4.8,3.0,3.3,,107,,2547,23.80,,,,,4,F,FWD,,,,,,,,N. America,U.S.,,,5,L,4,,,,,,,,,,,,11488,,,27-Oct-09,FM3,FM3,,,,,,,,,,,FM3,,,1,360,0
FALSE,2014 Chevrolet #3 Corvette Racing Corvette C7.R,Chev. #3 C7,2226,2014,Chevrolet,#3 Corvette Racing Corvette C7.R,Buy Cars Base,,,,,,,"302,000",Forza GT2,Race,804,R,4.6,6.5,6.8,6.0,,,491,485,2916,5.94,50,5500,NA,V,8,F,RWD,300/R18,310/R18,,Adjustable,none,none,stock,N. America,U.S.,Chevrolet Corvette,,2,L,4,,,3.800,7.418,11.083,180.7,85.5,209.3,1.45,1.70,3.618,12322,05-Oct-23,,15-Sep-15,FM,FM6,FM,,,FM7,DLC,FM6,,,,,,,,4,XBO,1
FALSE,2008 Chevrolet Monte Carlo SS Stock Car,,,2008,Chevrolet,Monte Carlo SS Stock Car,,,,,,,,,Coupe,Livery,715,R3,,,,,,,825,,3400,4.12,,5900,NA,V,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11494,,,27-Oct-09,FM3,FM3,,,,,,,,,,,FM3,,,1,360,0
FALSE,2007 Chevrolet #4 Corvette Racing C6.R,,,2007,Chevrolet,#4 Corvette Racing C6.R,,,,,,,,,GT1,Race,828,R2,6.7,7.6,7.5,8.2,7.1,,,,,#DIV/0!,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,.000,11486,,,27-Oct-09,FM3,FM3,,,,,,,,,,,FM3,,,1,360,0
FALSE,2006 Chevrolet #4 Corvette Racing C6.R,,,2006,Chevrolet,#4 Corvette Racing C6.R,,,,,,,,,GT1,Race,823,R2,,,,,,,593,639,2535,4.27,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.220,,,185.4,,,,,,11262,,,29-May-07,FM4,FM2,,,,,,,,,,FM4,FM3,FM2,,3,360,0
FALSE,2006 Chevrolet Corvette Z06,,,2006,Chevrolet,Corvette Z06,,,,,,,,,Sports,Factory,589,A,,,,,,,505,470,3150,6.24,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.700,,,207.1,,,,,,11267,,,29-May-07,FM4,FM2,,,,,,,,,,FM4,FM3,FM2,,3,360,0
FALSE,2005 Chevrolet #31 Whelen Engineering Corvette Z06,,,2005,Chevrolet,#31 Whelen Engineering Corvette Z06,,,,,,,,,GT3,Race,713,R3,,,,,,,525,,2950,5.62,,,,,,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11261,,,29-May-07,FM3,FM2,,,,,,,,,,,FM3,FM2,,2,360,0
FALSE,2005 Chevrolet #99 Tiger Racing Corvette Z06,,,2005,Chevrolet,#99 Tiger Racing Corvette Z06,,,,,,,,,GT3,Livery,711,R3,7.0,6.6,6.7,7.8,7.1,,525,,2950,5.62,,,,,,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11263,,,29-May-07,FM3,FM2,,,,,,,,,,,FM3,FM2,,2,360,0
FALSE,2005 Chevrolet Cobalt SS Coupe,,,2005,Chevrolet,Cobalt SS Coupe,,,,,,,,,Coupe,Factory,278,D,5.2,4.7,4.9,3.9,4.8,,205,,2970,14.49,,,,,4,F,FWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11265,,,29-May-07,FM3,FM2,,,,,,,,,,,FM3,FM2,,2,360,0
FALSE,2005 Chevrolet Corvette C6,,,2005,Chevrolet,Corvette C6,,,,,,,,,,Factory,,A3,,,,,,,,,,#DIV/0!,,,,,,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,.000,11035,,,03-May-05,FM1,FM1,,,,,,,,,,,,,FM1,1,360,0
FALSE,2004 Chevrolet #3 Corvette Racing C5.R,,,2004,Chevrolet,#3 Corvette Racing C5.R,,,,,,,,,GT1,Race,815,R2,,,,,,,620,495,2510,4.05,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,3.500,,,184.9,,,,,,11030,,,03-May-05,FM4,FM1,,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2003 Chevrolet #50 Corvette Racing C5.R,,,2003,Chevrolet,#50 Corvette Racing C5.R,,,,,,,,,GT1,Livery,807,R2,,,,,,,620,,2510,4.05,,,,,,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11487,,,27-Oct-09,FM3,FM3,,,,,,,,,,,FM3,,,1,360,0
FALSE,2003 Chevrolet #73 3R-Racing Corvette Z06,,,2003,Chevrolet,#73 3R-Racing Corvette Z06,,,,,,,,,GT3,Livery,712,R3,,,,,,,525,,2950,5.62,,,,,,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11031,,,03-May-05,FM3,FM1,,,,,,,,,,,FM3,FM2,FM1,3,360,0
FALSE,2003 Chevrolet Corvette Guldstrand Edition,,,2003,Chevrolet,Corvette Guldstrand Edition,,,,,,,,,,Tuner,790,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11036,,,03-May-05,FM2,FM1,,,,,,,,,,,,FM2,FM1,2,360,0
FALSE,2010 Chevrolet #55 Level 5 Motorsports Oreca FLM09,Chev. #55 09,1317,2010,Chevrolet,#55 Level 5 Motorsports Oreca FLM09,Buy Cars Base,,,,,,,"341,000",Forza P2,Race,915,P,4.7,9.6,9.7,7.1,,,430,464,2116,4.92,45,6200,NA,V,8,M,RWD,300,310,,Adjustable,none,none,stock,N. America,U.S.,,Yes,2,R,4,,,3.100,6.000,10.383,181.7,81.4,191.1,1.62,2.23,2.900,11752,05-Oct-23,,14-Oct-11,FM,FM4,FM,,,FM7,,,,,,FM4,,,,3,XBO,1
FALSE,2009 Chevrolet Corvette ZR1,Chev. C6 ZR1 '09,1069,2009,Chevrolet,Corvette ZR1,Buy Cars Base,,,,Rare,,,"149,000",Modern Sport GT,Factory,707,S,7.1,3.8,3.7,5.5,,,638,604,3350,5.25,52,6162,PDS,V,8,F,RWD,,335,Both,Forza,"565, 640, 788, 825",TT,eng,N. America,U.S.,Chevrolet Corvette,,2,L,4,,,3.276,7.385,11.400,214.3,102.6,246.4,1.04,1.09,4.109,11493,05-Oct-23,05-Nov-21,27-Oct-09,FM,FM3,FM,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,DLC,,,11,XBO,1
FALSE,2002 Chevrolet Lingenfelter 427 Corvette,,,2002,Chevrolet,Lingenfelter 427 Corvette,,,,,,,,,,Tuner,911,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11039,,,03-May-05,FM2,FM1,,,,,,,,,,,,FM2,FM1,2,360,0
FALSE,1996 Chevrolet Corvette Grand Sport,,,1996,Chevrolet,Corvette Grand Sport,,,,,,,,,Sports,Factory,473,B,,,,,,,330,340,3351,10.15,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,5.200,,,178.5,,,,,,11266,,,29-May-07,FM4,FM2,,,,,,,,,,FM4,FM3,FM2,,3,360,0
FALSE,1996 Chevrolet Impala Super Sport,Chevy Impala '96,1379,1996,Chevrolet,Impala Super Sport,"Autoshow, WS",,,,Common,,,"20,000",Retro Muscle,Factory,509,C,5.0,2.7,4.3,3.6,2.6,5.2,260,330,4037,15.53,55,5733,NA,V,8,F,RWD,,255,Both,Police lights,"415, 475d, 800, 850, 1750","TT, PDS, T",stock,N. America,U.S.,,,4,L,4,,,6.485,17.884,,139.1,158.2,391.9,0.83,0.82,11.399,11847,,05-Nov-21,03-Jan-12,FH5,FM4,,FH5,cu,,,,,,,DLC,,,,3,XBO,0
FALSE,2002 Chevrolet Camaro 35th Anniversary Super Sport,Chev. Camaro '02,287,2002,Chevrolet,Camaro 35th Anniversary Super Sport,Buy Cars Base,,,,,,,"80,000",Sport Touring Classics,Factory,499,C,4.2,2.2,2.4,3.0,,,325,350,3554,10.94,55,5700,NA,V,8,F,RWD,,,,Forza,"415, 425, 565, 640, 825","T, TT, PDS, CS",stock,N. America,U.S.,Chevrolet Camaro,,2,L,4,,,5.190,11.840,13.500,164.1,134.5,339.5,1.10,1.06,6.650,11032,05-Oct-23,,03-May-05,FM,FM1,FM,,,FM7,,FM6,,FM5,,FM4,FM3,Uni,FM1,8,XBO,1
FALSE,1990 Chevrolet #30 Douglas Shierson Racing Lola T90/00,Chevy Lola T9000,,1990,Chevrolet,#30 Douglas Shierson Racing Lola T90/00,,,,,,,,,IndyCar 90s,Race,,,8.3,8.8,8.9,9.9,,,735,372,1874,2.55,35,,T,V,8,M,RWD,,,,,,,no,N. America,U.S.,,,1,C,4,,,2.500,4.650,,222.5,76.3,172.4,1.69,2.47,2.150,12415,,,01-Dec-15,FM6,FM6,,,,,,DLC,,,,,,,,1,XBO,0
FALSE,2002 Chevrolet Corvette Z06,Chev. C4 Z06 '02,314,2002,Chevrolet,Corvette Z06,Buy Cars Base,,,,Common,,,"103,000",Sport GT Icons,Factory,599,B,6.0,2.7,3.3,3.6,,,405,400,3118,7.70,56,5666,NA,V,8,F,RWD,,295,Both,Forza,"425, 565, 640, 788, 825","TT, PDS, CS",stock,N. America,U.S.,Chevrolet Corvette,,2,L,4,,,4.500,9.900,12.800,191.0,142.4,348.6,0.98,1.03,5.400,11038,05-Oct-23,05-Nov-21,03-May-05,FM,FM1,FM,FH5,FH4,FM7,FH3,FM6,,FM5,,FM4,FM3,FM2,FM1,11,XBO,1
